Пара категорий;support;confidence;lift
ДЕТСКОЕ ПИТАНИЕ & ЖЕНСКИЕ ШТУЧКИ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ИГРУШКИ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & КАНЦТОВАРЫ, КНИГИ, ДИСКИ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & КОСМЕТИКА/ГИГИЕНА;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & КРУПНОГАБАРИТНЫЙ ТОВАР;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ОБУВЬ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ПОДГУЗНИКИ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & СОПУТСТВУЮЩИЕ ТОВАРЫ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ТЕКСТИЛЬ, ТРИКОТАЖ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ТОВАРЫ ДЛЯ ЖИВОТНЫХ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;0.0;0.0;0.0
ЖЕНСКИЕ ШТУЧКИ & ДЕТСКОЕ ПИТАНИЕ;0.0;0.0;0.0
ЖЕНСКИЕ ШТУЧКИ & ИГРУШКИ;0.0005356186395286556;0.3333333333333333;1.102450546206082
ЖЕНСКИЕ ШТУЧКИ & КАНЦТОВАРЫ, КНИГИ, ДИСКИ;0.0;0.0;0.0
ЖЕНСКИЕ ШТУЧКИ & КОСМЕТИКА/ГИГИЕНА;0.0008034279592929834;0.5;3.0407166123778504
ЖЕНСКИЕ ШТУЧКИ & КРУПНОГАБАРИТНЫЙ ТОВАР;0.0005356186395286556;0.3333333333333333;1.4506604506604506
ЖЕНСКИЕ ШТУЧКИ & ОБУВЬ;0.0002678093197643278;0.16666666666666666;1.814382896015549
ЖЕНСКИЕ ШТУЧКИ & ПОДГУЗНИКИ;0.0005356186395286556;0.3333333333333333;0.6405901526848516
ЖЕНСКИЕ ШТУЧКИ & СОПУТСТВУЮЩИЕ ТОВАРЫ;0.0;0.0;0.0
ЖЕНСКИЕ ШТУЧКИ & ТЕКСТИЛЬ, ТРИКОТАЖ;0.0005356186395286556;0.3333333333333333;0.9831490258030543
ЖЕНСКИЕ ШТУЧКИ & ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;0.0;0.0;0.0
ЖЕНСКИЕ ШТУЧКИ & ТОВАРЫ ДЛЯ ЖИВОТНЫХ;0.0;0.0;0.0
ЖЕНСКИЕ ШТУЧКИ & ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;0.0005356186395286556;0.3333333333333333;3.241319444444444
ИГРУШКИ & ДЕТСКОЕ ПИТАНИЕ;0.0;0.0;0.0
ИГРУШКИ & ЖЕНСКИЕ ШТУЧКИ;0.0005356186395286556;0.001771479185119575;1.102450546206082
ИГРУШКИ & КАНЦТОВАРЫ, КНИГИ, ДИСКИ;0.03240492769148366;0.10717449069973428;1.9521441379161353
ИГРУШКИ & КОСМЕТИКА/ГИГИЕНА;0.043652919121585435;0.14437555358724535;0.878010288427971
ИГРУШКИ & КРУПНОГАБАРИТНЫЙ ТОВАР;0.1068559185859668;0.3534100974313552;1.5380341536231705
ИГРУШКИ & ОБУВЬ;0.024638457418318157;0.08148804251550044;0.8871030634194713
ИГРУШКИ & ПОДГУЗНИКИ;0.09641135511515801;0.31886625332152346;0.612787745703844
ИГРУШКИ & СОПУТСТВУЮЩИЕ ТОВАРЫ;0.0029459025174076057;0.00974313551815766;2.273804251550044
ИГРУШКИ & ТЕКСТИЛЬ, ТРИКОТАЖ;0.07337975361542581;0.24269264836138174;0.715809122418167
ИГРУШКИ & ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;0.0005356186395286556;0.001771479185119575;3.307351638618246
ИГРУШКИ & ТОВАРЫ ДЛЯ ЖИВОТНЫХ;0.0010712372790573112;0.00354295837023915;0.5751915893249124
ИГРУШКИ & ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;0.03347616497054098;0.11071744906997343;1.0766118615293772
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ДЕТСКОЕ ПИТАНИЕ;0.0;0.0;0.0
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ЖЕНСКИЕ ШТУЧКИ;0.0;0.0;0.0
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ИГРУШКИ;0.03240492769148366;0.5902439024390244;1.9521441379161353
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & КОСМЕТИКА/ГИГИЕНА;0.010712372790573112;0.1951219512195122;1.1866211170255025
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & КРУПНОГАБАРИТНЫЙ ТОВАР;0.020353508302088912;0.37073170731707317;1.6134174768321108
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ОБУВЬ;0.00723085163363685;0.13170731707317074;1.4338050202659463
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ПОДГУЗНИКИ;0.02437064809855383;0.44390243902439025;0.8530785935754365
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & СОПУТСТВУЮЩИЕ ТОВАРЫ;0.0005356186395286556;0.00975609756097561;2.276829268292683
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ТЕКСТИЛЬ, ТРИКОТАЖ;0.016336368505623994;0.2975609756097561;0.8776403498632143
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;0.0002678093197643278;0.004878048780487805;9.107317073170732
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ТОВАРЫ ДЛЯ ЖИВОТНЫХ;0.0005356186395286556;0.00975609756097561;1.583881230116649
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;0.00723085163363685;0.13170731707317074;1.280716463414634
КОСМЕТИКА/ГИГИЕНА & ДЕТСКОЕ ПИТАНИЕ;0.0;0.0;0.0
