Пара категорий;support;confidence;lift
ДЕТСКОЕ ПИТАНИЕ & ЖЕНСКИЕ ШТУЧКИ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ИГРУШКИ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & КАНЦТОВАРЫ, КНИГИ, ДИСКИ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & КОСМЕТИКА/ГИГИЕНА;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & КРУПНОГАБАРИТНЫЙ ТОВАР;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ОБУВЬ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ПОДГУЗНИКИ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & СОПУТСТВУЮЩИЕ ТОВАРЫ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ТЕКСТИЛЬ, ТРИКОТАЖ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ТОВАРЫ ДЛЯ ЖИВОТНЫХ;0.0;0.0;0.0
ДЕТСКОЕ ПИТАНИЕ & ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;0.0;0.0;0.0
ЖЕНСКИЕ ШТУЧКИ & ДЕТСКОЕ ПИТАНИЕ;0.0;0.0;0.0
ЖЕНСКИЕ ШТУЧКИ & ИГРУШКИ;0.00843795019551348;0.4659090909090909;0.7934988688143262
ЖЕНСКИЕ ШТУЧКИ & КАНЦТОВАРЫ, КНИГИ, ДИСКИ;0.003704465939493723;0.20454545454545456;0.8296213385946274
ЖЕНСКИЕ ШТУЧКИ & КОСМЕТИКА/ГИГИЕНА;0.01296563078822803;0.7159090909090909;1.7001966142362035
ЖЕНСКИЕ ШТУЧКИ & КРУПНОГАБАРИТНЫЙ ТОВАР;0.002263840296357275;0.125;0.7960353866317168
ЖЕНСКИЕ ШТУЧКИ & ОБУВЬ;0.002263840296357275;0.125;1.179368932038835
ЖЕНСКИЕ ШТУЧКИ & ПОДГУЗНИКИ;0.00782053920559786;0.4318181818181818;0.8898238106253374
ЖЕНСКИЕ ШТУЧКИ & СОПУТСТВУЮЩИЕ ТОВАРЫ;0.00041160732661041366;0.022727272727272728;1.1043181818181818
ЖЕНСКИЕ ШТУЧКИ & ТЕКСТИЛЬ, ТРИКОТАЖ;0.0090553611854291;0.5;1.1613288718929253
ЖЕНСКИЕ ШТУЧКИ & ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;0.0;0.0;0.0
ЖЕНСКИЕ ШТУЧКИ & ТОВАРЫ ДЛЯ ЖИВОТНЫХ;0.0010290183165260341;0.056818181818181816;1.4530502392344498
ЖЕНСКИЕ ШТУЧКИ & ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;0.007408931878987446;0.4090909090909091;1.184608299924152
ИГРУШКИ & ДЕТСКОЕ ПИТАНИЕ;0.0;0.0;0.0
ИГРУШКИ & ЖЕНСКИЕ ШТУЧКИ;0.00843795019551348;0.014370837714686295;0.7934988688143262
ИГРУШКИ & КАНЦТОВАРЫ, КНИГИ, ДИСКИ;0.2043630376620704;0.3480546792849632;1.4116842125589617
ИГРУШКИ & КОСМЕТИКА/ГИГИЕНА;0.19057419222062152;0.32457062740974413;0.7708155809305702
ИГРУШКИ & КРУПНОГАБАРИТНЫЙ ТОВАР;0.09302325581395349;0.15842972309849282;1.0089253270453167
ИГРУШКИ & ОБУВЬ;0.06956163819715991;0.11847178408692605;1.1177755318026672
ИГРУШКИ & ПОДГУЗНИКИ;0.22617822597242232;0.3852085524009814;0.7937779288025313
ИГРУШКИ & СОПУТСТВУЮЩИЕ ТОВАРЫ;0.018522329697468615;0.031545741324921134;1.5328075709779179
ИГРУШКИ & ТЕКСТИЛЬ, ТРИКОТАЖ;0.2547849351718461;0.4339291973361374;1.0078690104475583
ИГРУШКИ & ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;0.0010290183165260341;0.0017525411847178409;1.2165139452205698
ИГРУШКИ & ТОВАРЫ ДЛЯ ЖИВОТНЫХ;0.022432599300267544;0.03820539782684893;0.9770527791613629
ИГРУШКИ & ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;0.17616793578925705;0.30003505082369436;0.8688142502695654
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ДЕТСКОЕ ПИТАНИЕ;0.0;0.0;0.0
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ЖЕНСКИЕ ШТУЧКИ;0.003704465939493723;0.015025041736227046;0.8296213385946274
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ИГРУШКИ;0.2043630376620704;0.828881469115192;1.4116842125589617
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & КОСМЕТИКА/ГИГИЕНА;0.07182547849351718;0.2913188647746244;0.6918467076930106
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & КРУПНОГАБАРИТНЫЙ ТОВАР;0.035398230088495575;0.14357262103505844;0.9143110951629736
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ОБУВЬ;0.029429923852644577;0.11936560934891485;1.126208729759956
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ПОДГУЗНИКИ;0.07882280304589422;0.31969949916527546;0.6587870510789116
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & СОПУТСТВУЮЩИЕ ТОВАРЫ;0.007614735542292653;0.030884808013355594;1.5006928213689483
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ТЕКСТИЛЬ, ТРИКОТАЖ;0.09261164848734307;0.3756260434056761;0.8724507384838338
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;0.001234821979831241;0.005008347245409015;3.476508466491772
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ТОВАРЫ ДЛЯ ЖИВОТНЫХ;0.010495986828565548;0.04257095158597663;1.0886960724013706
КАНЦТОВАРЫ, КНИГИ, ДИСКИ & ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;0.05700761473554229;0.23121869782971619;0.6695421053364666
